scrip_code,symbol,name,sector,industry,market_cap
13880,BANCOINDIA,BANCO PRODUCTS (I) LTD,,,
2263,BANDHANBNK,BANDHAN BANK LIMITED,,,
760325,GOLDBND,BANDHANAMC - GOLDBND,,,
760328,SILVERBND,BANDHANAMC - SILVERBND,,,
4668,BANKBARODA,BANK OF BARODA,,,
4745,BANKINDIA,BANK OF INDIA,,,
11377,MAHABANK,BANK OF MAHARASHTRA,,,
24386,BANSALWIRE,BANSAL WIRE INDUSTRIES L,,,
14511,BANSWRAS,BANSWARA SYNTEX LIMITED,,,
20547,BBNPPGOLD,BARODABNP - BBNPPGOLD,,,
368,BASF,BASF INDIA LTD,,,
371,BATAINDIA,BATA INDIA LTD,,,
762568,BATLIBOI,BATLIBOI LTD.,,,
17927,BAYERCROP,BAYER CROPSCIENCE LTD,,,
517246,BCCFUBA,BCC FUBA INDIA LTD.,,,
761494,BCPL,BCPL RAILWAY INFRA LTD,,,
757938,BELLACASA,BELLA CASA FASH AND RET L,,,
757102,BELRISE,BELRISE INDUSTRIES LTD,,,
522650,BEMHY,BEMCO HYDRAULICS LTD.,,,
15067,BLAL,BEML LAND ASSETS LIMITED,,,
395,BEML,BEML LIMITED,,,
404,BERGEPAINT,BERGER PAINTS (I) LTD,,,
759842,BETA,BETA DRUGS LIMITED,,,
21113,BFINVEST,BF INVESTMENT LIMITED,,,
14567,BFUTILITIE,BF UTILITIES LIMITED,,,
21986,BANKBETF,BFAM - BANKBETF,,,
23915,LIQUIDBETF,BFAM - LIQUIDBETF,,,
532930,BGRENERGY,BGR ENERGY SYSTEMS LTD.,,,
6164,BHAGCHEM,BHAGIRADHA CHEM & INDS L,,,
512296,BHAGYANGR,BHAGYANAGAR INDIA LTD.,,,
419,BEPL,BHANSALI ENG. POLYMERS LT,,,
13761,BBL,BHARAT BIJLEE LTD,,,
2144,BDL,BHARAT DYNAMICS LIMITED,,,
383,BEL,BHARAT ELECTRONICS LTD,,,
422,BHARATFORG,BHARAT FORGE LTD,,,
426,BHARATGEAR,BHARAT GEARS LTD.,,,
521238,BGDL,BHARAT GLOBAL DEVELOPERS LIMIT,,,
526,BPCL,BHARAT PETROLEUM CORP  LT,,,
30244,BHARATSE,BHARAT SEATS LIMITED,,,
16123,BHARATWIRE,BHARAT WIRE ROPES LTD.,,,
544535,BHARATROHAN,BHARATROHAN AIRBORNE INNOVATIO,,,
10604,BHARTIARTL,BHARTI AIRTEL LIMITED,,,
23489,BHARTIHEXA,BHARTI HEXACOM LIMITED,,,
7848,BIL,BHARTIYA INTERNATIONAL,,,
438,BHEL,BHEL,,,
762618,BTTL,BHILWARA TECHNICAL TEXT L,,,
11966,BIKAJI,BIKAJI FOODS INTERN LTD,,,
759806,GROWW,BILLIONBRAINS GARAGE VN L,,,
11373,BIOCON,BIOCON LIMITED.,,,
480,BIRLACORPN,BIRLA CORPORATION LTD,,,
13987,ABSLBANETF,BIRLASLAMC - ABSLBANETF,,,
5957,BSLSENETFG,BIRLASLAMC - BSLSENETFG,,,
8003,SILVER,BIRLASLAMC - SILVER,,,
6994,BSOFT,BIRLASOFT LIMITED,,,
3435,BBOX,BLACK BOX LIMITED,,,
762598,BLACKROSE,BLACK ROSE INDS. LTD.,,,
27144,BLACKBUCK,BLACKBUCK LIMITED,,,
19265,BLISSGVS,BLISS GVS PHARMA LTD,,,
22566,BLSE,BLS E-SERVICES LIMITED,,,
17279,BLS,BLS INTL SERVS LTD,,,
495,BLUEDART,BLUE DART EXPRESS LTD,,,
19686,BLUEJET,BLUE JET HEALTHCARE LTD,,,
8311,BLUESTARCO,BLUE STAR LIMITED,,,
759291,BLUESTONE,BLUESTONE JEWEL LFSTL LTD,,,
757520,BLUSPRING,BLUSPRING ENTERPRISES LTD,,,
542669,BMW,BMW INDUSTRIES LIMITED,,,
759256,BMWVENTLTD,BMW VENTURES LIMITED,,,
380,BBTC,BOMBAY BURMAH TRADING COR,,,
513,BOMDYEING,BOMBAY DYEING & MFG. CO L,,,
757919,BORANA,BORANA WEAVES LIMITED,,,
19401,BOROLTD,BOROSIL LIMITED,,,
3149,BORORENEW,BOROSIL RENEWABLES LTD,,,
24014,BOROSCI,BOROSIL SCIENTIFIC LTD,,,
4491,BOSCH-HCIL,BOSCH HOME COMFRT IND LTD,,,
2181,BOSCHLTD,BOSCH LIMITED,,,
530,BPL,BPL LTD,,,
535693,BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE LTD,,,
24814,FIRSTCRY,BRAINBEES SOLUTIONS LTD,,,
7780,BCONCEPTS,BRAND CONCEPTS LIMITED,,,
15184,BRIGADE,BRIGADE ENTER. LTD,,,
757794,BRIGHOTEL,BRIGADE HOTEL VENTURE LTD,,,
547,BRITANNIA,BRITANNIA INDUSTRIES LTD,,,
533543,BROOKS,BROOKS LABORATORIES LTD.,,,
19585,BSE,BSE LIMITED,,,
2716,BUTTERFLY,BTRFLY GANDHI APPL LTD,,,
544243,STYLEBAAZA,Baazar Style Retail Limited,,,
544758,BAGMANE,Bagmane Prime Office REIT,,,
539834,BALGOPAL,Balgopal Commercial limited,,,
544369,BEEZAASAN,Beezaasan Explotech Limited,,,
543971,BONDADA,Bondada Engineering Limited,,,
543831,BRIGHT,Bright Outdoor Media Limited,,,
543261,BIRET,Brookfield India Real Estate T,,,
7227,MAPMYINDIA,C.E. INFO SYSTEMS LIMITED,,,
6216,CAMLINFINE,CAMLIN FINE SCIENCES LTD,,,
9362,CAMPUS,CAMPUS ACTIVEWEAR LIMITED,,,
583,CANFINHOME,CAN FIN HOMES LTD,,,
10794,CANBK,CANARA BANK,,,
759477,CANHLIFE,CANARA HSBC LIFE INS CO L,,,
759311,CRAMC,CANARA ROBECO AMC LIMITED,,,
522292,CANDOUR,CANDOUR TECHTEX LIMITED,,,
20160,CANTABIL,CANTABIL RETAIL LTD,,,
21749,CAPACITE,CAPACITE INFRAPROJECT LTD,,,
759867,CAPILLARY,CAPILLARY TECHNO INDIA L,,,
22675,CAPITALSFB,CAPITAL SMALL FIN BANK L,,,
3906,CAPLIPOINT,CAPLIN POINT LAB LTD.,,,
20329,CGCL,CAPRI GLOBAL CAPITAL LTD,,,
536974,CPL,CAPTAIN POLYPLAST LTD,,,
595,CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,,,
29113,CARERATING,CARE RATINGS LIMITED,,,
28879,CARRARO,CARRARO INDIA LIMITED,,,
5407,CARTRADE,CARTRADE TECH LIMITED,,,
1879,CARYSIL,CARYSIL LIMITED,,,
1250,CASTROLIND,CASTROL INDIA LIMITED,,,
11452,CCL,CCL PRODUCTS (I) LTD,,,
15254,CEATLTD,CEAT LIMITED,,,
24742,CEIGALL,CEIGALL INDIA LIMITED,,,
761037,CEINSYS,CEINSYS TECH LIMITED,,,
19795,CELLO,CELLO WORLD LIMITED,,,
5622,CEMPRO,CEMINDIA PROJECTS LIMITED,,,
21174,CDSL,CENTRAL DEPO SER (I) LTD,,,
761581,CMPDI,CENTRAL MINE P N D INST L,,,
14982,CENTUM,CENTUM ELECTRONICS LTD,,,
619,CENTENKA,CENTURY ENKA LTD,,,
13305,CENTURYPLY,CENTURY PLYBOARDS (I) LTD,,,
628,CESC,CESC LTD,,,
543920,CFF,CFF FLUID CONTROL LIMITED,,,
760,CGPOWER,CG POWER AND IND SOL LTD,,,
8546,CHALET,CHALET HOTELS LIMITED,,,
3482,CLSEL,CHAMAN LAL SETIA EXP LTD,,,
637,CHAMBLFERT,CHAMBAL FERTILIZERS LTD,,,
270,CHEMCON,CHEMCON SPECIAL CHEM LTD,,,
5449,CHEMPLASTS,CHEMPLAST SANMAR LIMITED,,,
2049,CHENNPETRO,CHENNAI PETROLEUM CORP LT,,,
8866,CHOICEIN,CHOICE INTERNATIONAL LTD,,,
759610,CHOICEGOLD,CHOICEAMC - CHOICEGOLD,,,
21740,CHOLAHLDNG,CHOLAMANDALAM FIN HOL LTD,,,
685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,,,
519477,CIANAGRO,CIAN Agro Ind & Infra Ltd,,,
14937,CIEINDIA,CIE AUTOMOTIVE INDIA LTD,,,
694,CIPLA,CIPLA LTD,,,
5701,CUB,CITY UNION BANK LTD,,,
760183,CLEANMAX,CLEAN MAX ENVIRO EN SOL L,,,
5049,CLEAN,CLEAN SCIENCE & TECH LTD,,,
30893,CMRGREEN,CMR GREEN TECHNOLOGIES L,,,
7603,CMSINFO,CMS INFO SYSTEMS LIMITED,,,
20374,COALINDIA,COAL INDIA LTD,,,
6006,COASTCORP,COASTAL CORPORATION LTD,,,
21508,COCHINSHIP,COCHIN SHIPYARD LIMITED,,,
11543,COFORGE,COFORGE LIMITED,,,
17945,COHANCE,COHANCE LIFESCIENCES LTD,,,
15141,COLPAL,COLGATE PALMOLIVE LTD.,,,
531210,COLINZ,COLINZ LABORATORIES LTD.,,,
